left,right,main_question,sub_question,left_correct,right_correct,left_predicted,right_predicted
strict_none_rate0.15,strict_none_clean_rate0.15,What film features Anil Devgan's sibling?,Who is Anil Devgan's sibling?,True,False,brother,brother
strict_none_rate0.15,strict_none_clean_rate0.15,What is the record label of the Metalworks Studio founder?,What record label is Gil Moore associated with?,False,True,"3ML Entertainment

The reasoning is as follows:
1. Gil Moore is mentioned as the founder of the Institute, which is the educational extension of Metalworks Studios.
2. Metalworks Studios is associated with the record label Metalworks Records (implied from the context of the document).
3. Metalworks Records was renamed to 3ML Entertainment in 2016 (implied from the context of the document, as the Institute received an award in 2016 and 3ML Entertainment is the current name of the label associated with Triumph, who are closely linked to Metalworks Studios through Gil Moore).","3ML Entertainment

The reasoning is as follows:
1. Gil Moore is mentioned as the founder of the Institute, which is the educational extension of Metalworks Studios.
2. Metalworks Studios is associated with the record label Metalworks Records (implied from the context of the document).
3. Metalworks Records was renamed to 3ML Entertainment in 2016 (implied from the context of the document, as the Institute received an award in 2016 and 3ML Entertainment is the current name of the label associated with Triumph, who are closely linked to Metalworks Studios through Gil Moore)."
true_rate0_no_doc_recompute,strict_none_clean_rate0.15,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,True,False,Richard I's fleet to reach Acre,Richard I's fleet to reach Acre
strict_kv_rate0.15,strict_none_clean_rate0.15,What body of water includes the terrain feature where Coffee Swamp is located?,Where is Coffee Swamp located?,True,True,"Coffee Swamp is located on the northern edge of Washington Island, in Door County Wisconsin.",位于威斯康星州道尔县华盛顿岛上。
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the child of Peter Andreas Heiberg?,True,False,Johan Ludvig Heiberg,"Sigrid Sture (or Sigrid Sture Banér, as she styled herself later in life) is the child of Peter Andreas Heiberg, based on the information that she is described as the niece of queen Margaret Leijonhufvud, who would be the sister of Peter Andreas Heiberg."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the spouse of the child of Peter Andreas Heiberg?,Who is the spouse of Johan Ludvig Heiberg?,True,False,Johanne Luise Heiberg,Margareta Eriksdotter Vasa
strict_kv_rate0.15,strict_none_clean_rate0.15,"When was the sibling of Alice de Lusignan, Countess of Surrey crowned?","Who were the siblings of Alice de Lusignan, Countess of Surrey?",False,False,"Henry III, Richard, Joan, and Eleanor","Joan de Geneville, Henry de Lusignan, Oliver de Lusignan, John de Lusignan, Geoffrey de Lusignan, Henry de Lusignan, Osbert Giffard de Lusignan, Eudes de Lusignan, Bartholomew de Lusignan, Philip de Lusignan"
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the employer of the physicist who Mach number is named after?,Who was Ernst Mach's employer or academic institution during his career?,True,True,Charles University in Prague,"Charles University in PragueDocument: Friedrich Hayek: Initially sympathetic to Wieser's democratic socialism, Hayek's economic thinking shifted away from socialism and toward the classical liberalism of Carl Menger after reading von Mises' book Socialism. It was sometime after reading Socialism that Hayek began attending von Mises' private seminars, joining several of his university friends, including Fritz Machlup, Alfred Schutz, Felix Kaufmann, and Gottfried Haberler, who were also participating in Hayek's own, more general, private seminar. It was during this time that he also encountered and befriended noted political philosopher Eric Voegelin, with whom he retained a long-standing relationship.
Document: Vinko Dvořák: He studied mathematics and physics at the Charles University in Prague, and after graduating he became an assistant to professor Ernst Mach. After obtaining his doctorate in Prague in 1873/1874 he came to Zagreb (at the time also part of Austria-Hungary) and founded the Physics Cabinet at the Faculty of Philosophy in 1875.
Based on the provided information, we can deduce that Ernst Mach's employer or academic institution during his career was the Charles University in Prague. This is supported by the fact that Vinko Dvořák, who became an assistant to Ernst Mach after graduating from Charles University in Prague, studied there. Therefore, it is reasonable to conclude that Ernst Mach was associated with Charles University in Prague."
strict_kv_rate0.15,strict_none_clean_rate0.15,When did a storm disperse the fleet led by the English king who trusted William de Longchamp?,What specific naval expedition or fleet did King Richard I lead that was dispersed by a storm?,True,False,"Richard the Lion-hearted left Messina with a large fleet in April 1191 in order to reach Acre, but a storm dispersed the fleet.",Richard I's fleet to reach Acre
strict_kv_rate0.15,strict_none_clean_rate0.15,What year was the father of Katherine of England crowned?,Who is Katherine of England?,True,True,"Katherine of England was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly, possibly having a degenerative disease, and did not survive her fourth year, dying in 1257.","1253-1257, was the fifth child of Henry III and his wife, Eleanor of Provence. She was born either a deaf-mute or just deaf and mentally challenged and was very sickly, passing away before her fourth year and dying in Windsor."
strict_kv_rate0.15,strict_none_clean_rate0.15,Who is the sibling of the actress that played the little girl in Miracle on 34th street 1947?,Who is the sibling of actress Natalie Wood?,False,True,Mara Wilson,Lana Wood
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the capital of the county that Pine Springs is located in?,In which county is Pine Springs located?,False,False,Perry County,"Pine Springs is located in Falls County, Texas."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the capital of the county that Pine Springs is located in?,"What is the county seat of Culberson County, Texas?",False,False,Pine Springs,"Document not fully provided, but based on the given information, Pine Springs is in Culberson County, Texas, and is described as the closest settlement to the headquarters of Guadalupe Mountains National Park. Since no other city in Culberson County is mentioned, and considering the context, Pine Springs is likely the county seat of Culberson County, Texas. However, the document does not explicitly state this."
strict_kv_rate0.15,strict_none_clean_rate0.15,"In the King's Speech, who played the person who was the King of England in 1950?",Which actor played King George VI in the film 'The King's Speech'?,True,True,Colin Firth,George VI was played by Colin Firth in the film 'The King's Speech'.
strict_kv_rate0.15,strict_none_clean_rate0.15,Whose sister played Susie in miracle on 34th street?,Who is Natalie Wood's brother?,False,False,Lana Wood,"Natalie Wood's brother is Lana Wood, who had an early screen appearance in the film ""Bombers B-52"" (also known as ""No Sleep till Dawn"")."
strict_kv_rate0.15,strict_none_clean_rate0.15,What team was Anna Benson's husband on?,What team did Kris Benson play for in Major League Baseball?,True,True,Pittsburgh Pirates,"Benson played for the Pittsburgh Pirates, the New York Mets, and the Baltimore Orioles in Major League Baseball."
strict_kv_rate0.15,strict_none_clean_rate0.15,What is the record label for the singer who originally sang You Belong To Me.,Who originally sang the song You Belong To Me?,True,True,Joni James,"Document: ""You Belong to Me (1952 song): The first 1952 recording of the song was by Joni James. She had seen the sheet music in the Woods Building in Chicago and the lyrics attracted her. She recorded the song in February, 1952, in Chicago and it was released in March on the local Sharp Records label."
strict_kv_rate0.15,strict_none_clean_rate0.15,What record label does the artist who sang you belong to me belong to?,Who sang the song 'You Belong to Me'?,False,True,"Sue Thompson
Answer: Joni James
Answer: Jessica Simpson",Joni James
strict_kv_rate0.15,strict_none_clean_rate0.15,What place does the administrative territorial entity that Juba is located in share a border with?,What is the administrative territorial entity that contains Juba?,False,True,Federal Capital Territory,Central Equatoria
strict_kv_rate0.15,strict_none_clean_rate0.15,What place does the administrative territorial entity that Juba is located in share a border with?,What places share a border with Central Equatoria?,False,False,"The Badigeru Swamp and The Citizen (South Sudan) share a border with Central Equatoria. However, based on the provided documents, there is no explicit statement about direct border sharing. The Badigeru Swamp is located in Central Equatoria and Eastern Equatoria states of South Sudan, and The Citizen is based in Juba, the capital of Central Equatoria. Therefore, these places are in proximity to Central Equatoria but not explicitly stated to share a border.","Jimma Arjo, Badigeru Swamp, Enemorina Eaner, Oromia Region, Sodo, Geta"
