Question,Real Answer,Pred Answer
"When did the country, whose co-official language was used by the director of Group Portrait with a Lady, first attend the Olympics as an independent team?",2016,<|im_end|>
Who followed Menucha Rochel Slonim's father?,Menachem Mendel Schneersohn,<|im_end|>
Who started out his career on adult contemporary radio along with the performer of All That Echoes?,Michael Bublé,<|im_end|>
Who is the head of the developer of Simon?,ADM Michael S. Rogers,<|im_end|>
When was the last time the team that Terry Twell was a member of beat the 194-95 winner of the FA Cup?,1 December 2010,<|im_end|>
Who is the father of the artist who painted Head I?,Nicholas Bacon,<|im_end|>
Where is the origin of the river Augrabies Falls is part of?,Thaba Putsoa,<|im_end|>
The BBC Footballer of the Year is a member of which team?,Egypt national football team,<|im_end|>
Where was the person who acted in the film Sous les pieds des femmes born?,La Goulette,<|im_end|>
How many people were in British Colonies where does the london broil cut come from ?,2 million,<|im_end|>
Who is the spouse of the person who voices Jarvis in the Avengers Age of Ultron?,Jennifer Connelly,<|im_end|>
Which county shares a border with the county where the most populous city in the state where Redan High School is located?,Presque Isle County,<|im_end|>
The rapper who owns Aspiro was inspired by what when writing Song Cry?,three different relationships he had in the past,<|im_end|>
What administrative territorial entity includes the place that KTRP is licensed to broadcast to?,Canyon County,<|im_end|>
"In A League of Their Own, who played the husband of the actress who played Thelma in Thelma and Louise?",Bill Pullman,<|im_end|>
What is the former name of the country where Atika Suri studied?,Dutch East Indies,<|im_end|>
What province shares a border with the province where Lago District is located?,Cabo Delgado Province,<|im_end|>
Who published Communications of the organization that Andries van Dam is a member of?,Association for Computing Machinery,<|im_end|>
What county shares a border with Cedar Springs?,Bell County,<|im_end|>
What administrative territorial entity is the owner of Ciudad Deportiva located?,Tamaulipas,<|im_end|>
Who is the son of the Italian navigator who explored the eastern coast of the continent Ulises Solís' birthplace is located in for England?,Sebastian Cabot,<|im_end|>
Who played the monarch at the end of WW2 in The King's Speech?,Colin Firth,<|im_end|>
What is the place of birth of who does the voice of stan on the series that Insecurity is part of?,Denver,<|im_end|>
Where did they film The Beach in the country where Pao Sarasin was born?,Ko Phi Phi Leh,<|im_end|>
What is the competition that the 1965 Federation Cup is part of named after?,International Tennis Federation,<|im_end|>
Who is the president of the newly declared independent country that is part of the Commission of Truth and Friendship with the country where Kotamadya is located?,Francisco Guterres,<|im_end|>
"In the King's Speech, who played the person who was the King of England in 1950?",Colin Firth,<|im_end|>
What is the body of water by the area where Athlete was formed?,River Thames,<|im_end|>
What award did the author of The Happy Journey to Trenton and Camden receive?,Pulitzer Prize for Drama,<|im_end|>
Where was the designer of the Lap Engine educated?,University of Glasgow,<|im_end|>
Who is the father of the Labo M performer?,Louis Chedid,<|im_end|>
Why did Roncalli leave the place of death of the maker of The Gozzi Altarpiece?,for the conclave in Rome,<|im_end|>
Who gives out the award named after the person who argued that colonies were redundant?,University of Cambridge,<|im_end|>
"In 1990, who became the president of the country that Germany invaded?",Lech Wałęsa,<|im_end|>
What is the name for the mouth of the watercourse of the body of water by Rotterdam Centrum?,Het Scheur,<|im_end|>
"Who sings Home Alone Tonight with the singer of ""I Don't Want This Night to End""?",Karen Fairchild,<|im_end|>
What company is the school where Lawrence Landweber was educated a part of?,City University of New York,<|im_end|>
What is the capital of the county that shares a border with the county where WAPL is licensed to broadcast?,Green Bay,<|im_end|>
Who was the first black student admitted to where Robert Khayat was educated?,James Howard Meredith,<|im_end|>
Who did the original voice of the character played by mila kunis in the cleveland show?,Lacey Chabert,<|im_end|>
What is the record label of the co-writer and recording artist of Permission to Fly?,Hollywood Records,<|im_end|>
What record label is the performer who released All Your Faded Things on?,Kill Rock Stars,<|im_end|>
What is another notable work made by the author of Miss Sara Sampson?,Emilia Galotti,<|im_end|>
When did the majority party in the body which determines rules of the US House and US Senate gain control of the House?,the 2010 election,<|im_end|>
In what year did Margaret Knox's spouse pass away?,1572,<|im_end|>
The city where Dmitry Borisovich was born is located where in Russia?,Yaroslavl Oblast,<|im_end|>
What league includes the operating group of Al Janoub Stadium?,Qatar Stars League,<|im_end|>
When was the kingdom that Heptarchy was part of abolished?,918,<|im_end|>
What is the average salary of a working person with the same nationality as the producer of The Wild Women of Chastity Gulch?,"$59,039",<|im_end|>
The city that Psycho Donuts is located in is in which county?,Santa Clara County,<|im_end|>
