Question,Real Answer,Pred Answer
Where was the wife of Francis I Rákóczi born?,Ozalj,"Ozalj, present-day Croatia"
Who is Sobe (Sister Of Saint Anne)'s grandchild?,John the Baptist,Elizabeth
Where does the director of film Man At Bath work at?,Cahiers du cinéma,"Christophe Honoré is a French writer and film and theatre director. The film ""Man At Bath"" (French: Homme au bain) is directed by Christophe Honoré. Given that he is a French director"
Do both Beauty And The Bad Man and Wild Child (Film) films have the directors from the same country?,no,no
"What is the date of birth of William Paulet, 3Rd Marquess Of Winchester's father?",1510,c. 1532
"Who is Edward Watson, Viscount Sondes's paternal grandfather?",Edward Watson,"Lewis Watson, 1st Earl of Rockingham"
"What is the date of death of Humphrey De Bohun, 7Th Earl Of Hereford's father?",16 September 1360,1341
Who is Helmichis's father-in-law?,Cunimund,Alboin
Where did Helena Carroll's father study?,St Patrick's College,"St Patrick's College, Dublin"
Where does the director of film Wine Of Morning work at?,Bob Jones University,"Katherine Stenholm, the director of the film *Wine of Morning*, worked at Bob Jones University as the director of Unusual Films."
"Which film has the director who was born earlier, The Secret Invasion or The House Of The Seven Hawks?",The House Of The Seven Hawks,The House of the Seven Hawks
"Who is the paternal grandmother of Marie Of Brabant, Queen Of France?",Marie of Hohenstaufen,Adelaide of Burgundy
"Who is Renaud Ii, Count Of Soissons's uncle?","Guy II, Count of Soissons","John I, Count of Soissons"
When did William Le Poer Trench's father die?,26 April 1872,1837
Which country the director of film Renegade Force is from?,America,"Martin Kunert, the director of the film Renegade Force, is from Poland."
Who is the spouse of the director of film Emergency Wedding?,Ona Munson,Barbara Hale
"Which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death Of Black King
Do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,no,no
"Are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,yes
Where was the director of film Kanneshwara Rama born?,Mysore,Mysore
Where was the place of death of Randi Monsen's father?,Kristiania,Answer: The place of death of Randi Monsen's father is not explicitly mentioned in the provided passages.
Where did the performer of song I'Ll Say It graduate from?,Lee Strasberg Theatre and Film Institute,Kathy Griffin graduated from the Lee Strasberg Theatre and Film Institute in Los Angeles.
"Which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,The Soviet Story
"Who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,Cipriano Castro
"Which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,Monster on the Campus
