Question,Real Answer,Pred Answer
"Who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","Sir Paul Gore, 1st Baronet"
Which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,Ethiopia
Where was the wife of Lou Breslow born?,"Dayton, Ohio","Dayton, Ohio"
Who is the spouse of the director of film Ann Carver'S Profession?,Ona Munson,Edward Buzzell
"Which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart
What is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,"Baraguru village in the Tumkur district, Karnataka state."
"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Det Sande Ansigt
"Which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,Bomgay
Where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,Preslav,"The place of death of Maria's husband, Boris I of Bulgaria, is not explicitly mentioned in the provided passages. However, it is noted that after abdicating in 889, Boris became a monk and died"
"Which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,Revolt Of The Praetorians
Are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,yes
What is the cause of death of Constantia Eriksdotter's father?,poisoning,arsenic poisoning
What nationality is the director of film Postmortem (1998 Film)?,America,American
Which country Keōpūolani's husband is from?,Kingdom of Hawaii,Hawaii
"Which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni
"Which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam
Who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,Lee Kun-hee
Who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon","Louis I, Duke of Bourbon"
What is the date of death of Duleep Singh's father?,27 June 1839,27 June 1839
What is the place of birth of the director of film Gunsmoke (Film)?,Gura Humorului,Dublin
"Who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,"Jacques Dutronc is the performer of the song ""Et Moi, Et Moi, Et Moi."" His spouse is Françoise Hardy."
"Who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,Charles Wheatstone
Where was the place of death of Thomas E. Noell's father?,Washington,"St. Mary's Cemetery, Perryville, Missouri"
"Which film has the director died first, Our Agent Tiger or London Melody?",London Melody,Our Agent Tiger
Who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,Fernando Flaínez
